window_start,site_ID,ion,concentration
1989-09-22,BQ1,Ca_mgL,4.2
1989-09-22,BQ1,Mg_mgL,2.970833333333333
1989-09-22,BQ1,NO3N_ugL,365
1989-09-22,BQ1,K_mgL,1.2953846153846154
1989-11-24,BQ1,NH4N_ugL,NA
1989-11-24,BQ1,Ca_mgL,5.8566666666666665
1989-11-24,BQ1,Mg_mgL,3.2266666666666666
1989-11-24,BQ1,NO3N_ugL,99
1989-11-24,BQ1,K_mgL,1.1466666666666667
1990-01-26,BQ1,NH4N_ugL,NA
1990-01-26,BQ1,Ca_mgL,5.546666666666667
1990-01-26,BQ1,Mg_mgL,3.1666666666666665
1990-01-26,BQ1,NO3N_ugL,211.375
1990-01-26,BQ1,K_mgL,1.2344444444444445
1990-03-30,BQ1,NH4N_ugL,NA
1990-03-30,BQ1,Ca_mgL,4.312857142857143
1990-03-30,BQ1,Mg_mgL,2.5492857142857144
1990-03-30,BQ1,NO3N_ugL,450.30769230769226
1990-03-30,BQ1,K_mgL,1.3628571428571428
1990-06-01,BQ1,NH4N_ugL,NA
1990-06-01,BQ1,Ca_mgL,5.4944444444444445
1990-06-01,BQ1,Mg_mgL,3.2333333333333334
1990-06-01,BQ1,NO3N_ugL,143.77777777777777
1990-06-01,BQ1,K_mgL,1.1555555555555554
1990-08-03,BQ1,NH4N_ugL,NA
1990-08-03,BQ1,Ca_mgL,5.841111111111111
1990-08-03,BQ1,Mg_mgL,3.2688888888888887
1990-08-03,BQ1,NO3N_ugL,80.83333333333334
1990-08-03,BQ1,K_mgL,0.8844444444444445
1990-10-05,BQ1,NH4N_ugL,NA
1990-10-05,BQ1,Ca_mgL,4.603
1990-10-05,BQ1,Mg_mgL,2.832
1990-10-05,BQ1,NO3N_ugL,108.5
1990-10-05,BQ1,K_mgL,1.007
1990-12-07,BQ1,NH4N_ugL,NA
1990-12-07,BQ1,Ca_mgL,5.297
1990-12-07,BQ1,Mg_mgL,2.988
1990-12-07,BQ1,NO3N_ugL,155.375
1990-12-07,BQ1,K_mgL,0.983
1991-02-08,BQ1,NH4N_ugL,NA
1991-02-08,BQ1,Ca_mgL,5.701111111111111
1991-02-08,BQ1,Mg_mgL,3.16
1991-02-08,BQ1,NO3N_ugL,70.66666666666667
1991-02-08,BQ1,K_mgL,0.8122222222222223
1991-04-12,BQ1,NH4N_ugL,NA
1991-04-12,BQ1,Ca_mgL,5.176
1991-04-12,BQ1,Mg_mgL,2.9539999999999997
1991-04-12,BQ1,NO3N_ugL,43.77777777777778
1991-04-12,BQ1,K_mgL,0.923
1991-06-14,BQ1,NH4N_ugL,NA
1991-06-14,BQ1,Ca_mgL,5.622222222222223
1991-06-14,BQ1,Mg_mgL,3.3777777777777778
1991-06-14,BQ1,NO3N_ugL,32.42857142857143
1991-06-14,BQ1,K_mgL,0.7644444444444445
1991-08-16,BQ1,NH4N_ugL,NA
1991-08-16,BQ1,Ca_mgL,5.84
1991-08-16,BQ1,Mg_mgL,3.614
1991-08-16,BQ1,NO3N_ugL,63.5
1991-08-16,BQ1,K_mgL,1.165
1991-10-18,BQ1,NH4N_ugL,NA
1991-10-18,BQ1,Ca_mgL,4.1425
1991-10-18,BQ1,Mg_mgL,2.685833333333333
1991-10-18,BQ1,NO3N_ugL,118.16666666666666
1991-10-18,BQ1,K_mgL,1.1483333333333334
1991-12-20,BQ1,NH4N_ugL,NA
1991-12-20,BQ1,Ca_mgL,5.06
1991-12-20,BQ1,Mg_mgL,3.004
1991-12-20,BQ1,NO3N_ugL,184.55555555555554
1991-12-20,BQ1,K_mgL,1.221
1992-02-21,BQ1,NH4N_ugL,NA
1992-02-21,BQ1,Ca_mgL,6.308888888888889
1992-02-21,BQ1,Mg_mgL,3.578888888888889
1992-02-21,BQ1,NO3N_ugL,79.75
1992-02-21,BQ1,K_mgL,1.1111111111111112
1992-04-24,BQ1,NH4N_ugL,NA
1992-04-24,BQ1,Ca_mgL,4.303333333333334
1992-04-24,BQ1,Mg_mgL,2.59
1992-04-24,BQ1,NO3N_ugL,57.125
1992-04-24,BQ1,K_mgL,1.031111111111111
1992-06-26,BQ1,NH4N_ugL,NA
1992-06-26,BQ1,Ca_mgL,5.6066666666666665
1992-06-26,BQ1,Mg_mgL,3.2455555555555557
1992-06-26,BQ1,NO3N_ugL,140.625
1992-06-26,BQ1,K_mgL,1.1466666666666667
1992-08-28,BQ1,NH4N_ugL,NA
1992-08-28,BQ1,Ca_mgL,6.2
1992-08-28,BQ1,Mg_mgL,3.517777777777778
1992-08-28,BQ1,NO3N_ugL,67.71428571428571
1992-08-28,BQ1,K_mgL,1.0655555555555556
1992-10-30,BQ1,NH4N_ugL,NA
1992-10-30,BQ1,Ca_mgL,4.543333333333333
1992-10-30,BQ1,Mg_mgL,2.4955555555555557
1992-10-30,BQ1,NO3N_ugL,33
1992-10-30,BQ1,K_mgL,0.9622222222222222
1993-01-01,BQ1,NH4N_ugL,NA
1993-01-01,BQ1,Ca_mgL,4.975555555555555
1993-01-01,BQ1,Mg_mgL,3.181111111111111
1993-01-01,BQ1,NO3N_ugL,20
1993-01-01,BQ1,K_mgL,1.1344444444444444
1993-03-05,BQ1,NH4N_ugL,NA
1993-03-05,BQ1,Ca_mgL,5.795555555555556
1993-03-05,BQ1,Mg_mgL,3.671111111111111
1993-03-05,BQ1,NO3N_ugL,137.11111111111111
1993-03-05,BQ1,K_mgL,1.1744444444444444
1993-05-07,BQ1,NH4N_ugL,NA
1993-05-07,BQ1,Ca_mgL,5.611111111111111
1993-05-07,BQ1,Mg_mgL,3.2222222222222223
1993-05-07,BQ1,NO3N_ugL,28.333333333333332
1993-05-07,BQ1,K_mgL,1.1577777777777778
1993-07-09,BQ1,NH4N_ugL,NA
1993-07-09,BQ1,Ca_mgL,5.467777777777778
1993-07-09,BQ1,Mg_mgL,3.013333333333333
1993-07-09,BQ1,NO3N_ugL,44.6
1993-07-09,BQ1,K_mgL,1.0033333333333334
1993-09-10,BQ1,NH4N_ugL,NA
1993-09-10,BQ1,Ca_mgL,5.921111111111111
1993-09-10,BQ1,Mg_mgL,3.3266666666666667
1993-09-10,BQ1,NO3N_ugL,28.333333333333332
1993-09-10,BQ1,K_mgL,1.1211111111111112
1993-11-12,BQ1,NH4N_ugL,NA
1993-11-12,BQ1,Ca_mgL,5.688888888888889
1993-11-12,BQ1,Mg_mgL,3.1688888888888886
1993-11-12,BQ1,NO3N_ugL,22.166666666666668
1993-11-12,BQ1,K_mgL,1.18
1994-01-14,BQ1,NH4N_ugL,NA
1994-01-14,BQ1,Ca_mgL,5.302222222222222
1994-01-14,BQ1,Mg_mgL,2.951111111111111
1994-01-14,BQ1,NO3N_ugL,13.5
1994-01-14,BQ1,K_mgL,1.0055555555555555
1994-03-18,BQ1,NH4N_ugL,NA
1994-03-18,BQ1,Ca_mgL,6.14
1994-03-18,BQ1,Mg_mgL,3.347777777777778
1994-03-18,BQ1,NO3N_ugL,65.66666666666667
1994-03-18,BQ1,K_mgL,1.051111111111111
1994-05-20,BQ1,NH4N_ugL,NA
1994-05-20,BQ1,Ca_mgL,6.785
1994-05-20,BQ1,Mg_mgL,3.85
1994-05-20,BQ1,NO3N_ugL,51.22222222222222
1994-05-20,BQ1,K_mgL,1.21
1994-07-22,BQ1,NH4N_ugL,NA
1994-07-22,BQ1,Ca_mgL,6.015555555555555
1994-07-22,BQ1,Mg_mgL,3.398888888888889
1994-07-22,BQ1,NO3N_ugL,NA
1994-07-22,BQ1,K_mgL,1.2377777777777779
1994-09-23,BQ1,NH4N_ugL,NA
1994-09-23,BQ1,Ca_mgL,5.921111111111111
1994-09-23,BQ1,Mg_mgL,3.183333333333333
1994-09-23,BQ1,NO3N_ugL,NA
1994-09-23,BQ1,K_mgL,1.12
1994-11-25,BQ1,NH4N_ugL,NA
1994-11-25,BQ1,Ca_mgL,5.74
1994-11-25,BQ1,Mg_mgL,3.1375
1994-11-25,BQ1,NO3N_ugL,109
1994-11-25,BQ1,K_mgL,1.09375
1988-01-01,BQ2,NH4N_ugL,18.5
1988-01-01,BQ2,Ca_mgL,4.415555555555556
1988-01-01,BQ2,Mg_mgL,2.11
1988-01-01,BQ2,NO3N_ugL,239.1875
1988-01-01,BQ2,K_mgL,0.8672222222222222
1988-03-04,BQ2,NH4N_ugL,27.142857142857142
1988-03-04,BQ2,Ca_mgL,4.243333333333333
1988-03-04,BQ2,Mg_mgL,2.316666666666667
1988-03-04,BQ2,NO3N_ugL,192.33333333333334
1988-03-04,BQ2,K_mgL,0.7833333333333333
1988-05-06,BQ2,NH4N_ugL,74.42857142857143
1988-05-06,BQ2,Ca_mgL,3.587
1988-05-06,BQ2,Mg_mgL,2.1189999999999998
1988-05-06,BQ2,NO3N_ugL,239.33333333333334
1988-05-06,BQ2,K_mgL,0.7969999999999999
1988-07-08,BQ2,NH4N_ugL,14
1988-07-08,BQ2,Ca_mgL,3.446
1988-07-08,BQ2,Mg_mgL,2.0286666666666666
1988-07-08,BQ2,NO3N_ugL,178.33333333333334
1988-07-08,BQ2,K_mgL,0.7846666666666666
1988-09-09,BQ2,NH4N_ugL,47
1988-09-09,BQ2,Ca_mgL,4.55
1988-09-09,BQ2,Mg_mgL,2.37
1988-09-09,BQ2,NO3N_ugL,205
1988-09-09,BQ2,K_mgL,0.77
1988-11-11,BQ2,NH4N_ugL,NA
1988-11-11,BQ2,Ca_mgL,4.161111111111111
1988-11-11,BQ2,Mg_mgL,2.3633333333333333
1988-11-11,BQ2,NO3N_ugL,220.66666666666666
1988-11-11,BQ2,K_mgL,0.8722222222222222
1989-01-13,BQ2,NH4N_ugL,NA
1989-01-13,BQ2,Ca_mgL,4.592222222222222
1989-01-13,BQ2,Mg_mgL,2.52
1989-01-13,BQ2,NO3N_ugL,232.8
1989-01-13,BQ2,K_mgL,0.9011111111111111
1989-03-17,BQ2,NH4N_ugL,NA
1989-03-17,BQ2,Ca_mgL,4.467777777777778
1989-03-17,BQ2,Mg_mgL,2.8766666666666665
1989-03-17,BQ2,NO3N_ugL,190.55555555555554
1989-03-17,BQ2,K_mgL,0.8766666666666667
1989-05-19,BQ2,NH4N_ugL,NA
1989-05-19,BQ2,Ca_mgL,4.615555555555556
1989-05-19,BQ2,Mg_mgL,2.5166666666666666
1989-05-19,BQ2,NO3N_ugL,166.66666666666666
1989-05-19,BQ2,K_mgL,0.9522222222222222
1989-07-21,BQ2,NH4N_ugL,NA
1989-07-21,BQ2,Ca_mgL,4.9075
1989-07-21,BQ2,Mg_mgL,2.545
1989-07-21,BQ2,NO3N_ugL,143.25
1989-07-21,BQ2,K_mgL,0.995
1989-09-22,BQ2,NH4N_ugL,NA
1989-09-22,BQ2,Ca_mgL,5.4175
1989-09-22,BQ2,Mg_mgL,2.9316666666666666
1989-09-22,BQ2,NO3N_ugL,419.1111111111111
1989-09-22,BQ2,K_mgL,1.4284615384615384
1989-11-24,BQ2,NH4N_ugL,NA
1989-11-24,BQ2,Ca_mgL,6.613333333333333
1989-11-24,BQ2,Mg_mgL,3.1233333333333335
1989-11-24,BQ2,NO3N_ugL,239.25
1989-11-24,BQ2,K_mgL,1.2066666666666666
1990-01-26,BQ2,NH4N_ugL,NA
1990-01-26,BQ2,Ca_mgL,6.53
1990-01-26,BQ2,Mg_mgL,3.0522222222222224
1990-01-26,BQ2,NO3N_ugL,188
1990-01-26,BQ2,K_mgL,1.3388888888888888
1990-03-30,BQ2,NH4N_ugL,NA
1990-03-30,BQ2,Ca_mgL,5.1971428571428575
1990-03-30,BQ2,Mg_mgL,2.4907142857142857
1990-03-30,BQ2,NO3N_ugL,466.7692307692308
1990-03-30,BQ2,K_mgL,1.3635714285714287
1990-06-01,BQ2,NH4N_ugL,NA
1990-06-01,BQ2,Ca_mgL,6.776666666666666
1990-06-01,BQ2,Mg_mgL,3.2088888888888887
1990-06-01,BQ2,NO3N_ugL,232.77777777777777
1990-06-01,BQ2,K_mgL,1.1311111111111112
1990-08-03,BQ2,NH4N_ugL,NA
1990-08-03,BQ2,Ca_mgL,7.187777777777778
1990-08-03,BQ2,Mg_mgL,3.2244444444444444
1990-08-03,BQ2,NO3N_ugL,121.11111111111113
1990-08-03,BQ2,K_mgL,0.9255555555555556
1990-10-05,BQ2,NH4N_ugL,NA
1990-10-05,BQ2,Ca_mgL,5.773
1990-10-05,BQ2,Mg_mgL,2.712
1990-10-05,BQ2,NO3N_ugL,164.7
1990-10-05,BQ2,K_mgL,0.901
1990-12-07,BQ2,NH4N_ugL,NA
1990-12-07,BQ2,Ca_mgL,6.782
1990-12-07,BQ2,Mg_mgL,3.08
1990-12-07,BQ2,NO3N_ugL,182.11111111111111
1990-12-07,BQ2,K_mgL,0.998
1991-02-08,BQ2,NH4N_ugL,NA
1991-02-08,BQ2,Ca_mgL,6.815555555555555
1991-02-08,BQ2,Mg_mgL,2.953333333333333
1991-02-08,BQ2,NO3N_ugL,151.75
1991-02-08,BQ2,K_mgL,0.8255555555555556
1991-04-12,BQ2,NH4N_ugL,NA
1991-04-12,BQ2,Ca_mgL,4.025
1991-04-12,BQ2,Mg_mgL,2.834
1991-04-12,BQ2,NO3N_ugL,35
1991-04-12,BQ2,K_mgL,1.0090000000000001
1991-06-14,BQ2,NH4N_ugL,NA
1991-06-14,BQ2,Ca_mgL,5.316666666666666
1991-06-14,BQ2,Mg_mgL,3.201111111111111
1991-06-14,BQ2,NO3N_ugL,81
1991-06-14,BQ2,K_mgL,0.9955555555555555
1991-08-16,BQ2,NH4N_ugL,NA
1991-08-16,BQ2,Ca_mgL,6.027
1991-08-16,BQ2,Mg_mgL,2.9859999999999998
1991-08-16,BQ2,NO3N_ugL,88.2
1991-08-16,BQ2,K_mgL,1.42
1991-10-18,BQ2,NH4N_ugL,NA
1991-10-18,BQ2,Ca_mgL,4.571666666666666
1991-10-18,BQ2,Mg_mgL,2.6675
1991-10-18,BQ2,NO3N_ugL,221.08333333333331
1991-10-18,BQ2,K_mgL,1.2725
1991-12-20,BQ2,NH4N_ugL,NA
1991-12-20,BQ2,Ca_mgL,5.949
1991-12-20,BQ2,Mg_mgL,2.956
1991-12-20,BQ2,NO3N_ugL,284.9
1991-12-20,BQ2,K_mgL,1.301
1992-02-21,BQ2,NH4N_ugL,NA
1992-02-21,BQ2,Ca_mgL,5.852222222222222
1992-02-21,BQ2,Mg_mgL,3.121111111111111
1992-02-21,BQ2,NO3N_ugL,88.125
1992-02-21,BQ2,K_mgL,1.1222222222222222
1992-04-24,BQ2,NH4N_ugL,NA
1992-04-24,BQ2,Ca_mgL,5.24
1992-04-24,BQ2,Mg_mgL,2.482222222222222
1992-04-24,BQ2,NO3N_ugL,124.875
1992-04-24,BQ2,K_mgL,1.2466666666666666
1992-06-26,BQ2,NH4N_ugL,NA
1992-06-26,BQ2,Ca_mgL,6.88
1992-06-26,BQ2,Mg_mgL,3.26
1992-06-26,BQ2,NO3N_ugL,108.22222222222223
1992-06-26,BQ2,K_mgL,1.23
1992-08-28,BQ2,NH4N_ugL,NA
1992-08-28,BQ2,Ca_mgL,6.641111111111111
1992-08-28,BQ2,Mg_mgL,3.1655555555555557
1992-08-28,BQ2,NO3N_ugL,49.125
1992-08-28,BQ2,K_mgL,1.2677777777777777
1992-10-30,BQ2,NH4N_ugL,NA
1992-10-30,BQ2,Ca_mgL,5.694444444444445
1992-10-30,BQ2,Mg_mgL,2.6044444444444443
1992-10-30,BQ2,NO3N_ugL,66.28571428571429
1992-10-30,BQ2,K_mgL,1.2144444444444444
1993-01-01,BQ2,NH4N_ugL,NA
1993-01-01,BQ2,Ca_mgL,6.49
1993-01-01,BQ2,Mg_mgL,3.181111111111111
1993-01-01,BQ2,NO3N_ugL,135
1993-01-01,BQ2,K_mgL,1.27
1993-03-05,BQ2,NH4N_ugL,NA
1993-03-05,BQ2,Ca_mgL,6.347777777777778
1993-03-05,BQ2,Mg_mgL,3.243333333333333
1993-03-05,BQ2,NO3N_ugL,144
1993-03-05,BQ2,K_mgL,1.3044444444444445
1993-05-07,BQ2,NH4N_ugL,NA
1993-05-07,BQ2,Ca_mgL,6.171111111111111
1993-05-07,BQ2,Mg_mgL,2.9611111111111112
1993-05-07,BQ2,NO3N_ugL,72.75
1993-05-07,BQ2,K_mgL,1.468888888888889
1993-07-09,BQ2,NH4N_ugL,NA
1993-07-09,BQ2,Ca_mgL,7.205555555555556
1993-07-09,BQ2,Mg_mgL,3.1777777777777776
1993-07-09,BQ2,NO3N_ugL,23.5
1993-07-09,BQ2,K_mgL,1.4122222222222223
1993-09-10,BQ2,NH4N_ugL,NA
1993-09-10,BQ2,Ca_mgL,6.414444444444444
1993-09-10,BQ2,Mg_mgL,2.8533333333333335
1993-09-10,BQ2,NO3N_ugL,55.33333333333333
1993-09-10,BQ2,K_mgL,1.33
1993-11-12,BQ2,NH4N_ugL,NA
1993-11-12,BQ2,Ca_mgL,6.371111111111111
1993-11-12,BQ2,Mg_mgL,2.6155555555555554
1993-11-12,BQ2,NO3N_ugL,56.66666666666667
1993-11-12,BQ2,K_mgL,1.4
1994-01-14,BQ2,NH4N_ugL,NA
1994-01-14,BQ2,Ca_mgL,5.916666666666667
1994-01-14,BQ2,Mg_mgL,2.828888888888889
1994-01-14,BQ2,NO3N_ugL,12.333333333333334
1994-01-14,BQ2,K_mgL,1.3533333333333333
1994-03-18,BQ2,NH4N_ugL,NA
1994-03-18,BQ2,Ca_mgL,6.77
1994-03-18,BQ2,Mg_mgL,3.0566666666666666
1994-03-18,BQ2,NO3N_ugL,30.166666666666664
1994-03-18,BQ2,K_mgL,1.2733333333333334
1994-05-20,BQ2,NH4N_ugL,NA
1994-05-20,BQ2,Ca_mgL,6.51
1994-05-20,BQ2,Mg_mgL,3.11875
1994-05-20,BQ2,NO3N_ugL,87.625
1994-05-20,BQ2,K_mgL,1.46125
1994-07-22,BQ2,NH4N_ugL,NA
1994-07-22,BQ2,Ca_mgL,3.913333333333333
1994-07-22,BQ2,Mg_mgL,1.9333333333333331
1994-07-22,BQ2,NO3N_ugL,NA
1994-07-22,BQ2,K_mgL,0.9500000000000001
1994-09-23,BQ2,NH4N_ugL,NA
1994-09-23,BQ2,Ca_mgL,4.5125
1994-09-23,BQ2,Mg_mgL,2.125
1994-09-23,BQ2,NO3N_ugL,NA
1994-09-23,BQ2,K_mgL,1.2125
1994-11-25,BQ2,NH4N_ugL,NA
1994-11-25,BQ2,Ca_mgL,5.89375
1994-11-25,BQ2,Mg_mgL,2.7875
1994-11-25,BQ2,NO3N_ugL,NA
1994-11-25,BQ2,K_mgL,1.1724999999999999
1988-01-01,BQ3,NH4N_ugL,33.1764705882353
1988-01-01,BQ3,Ca_mgL,3.3953333333333333
1988-01-01,BQ3,Mg_mgL,2.556
1988-01-01,BQ3,NO3N_ugL,165.4375
1988-01-01,BQ3,K_mgL,0.728
1988-03-04,BQ3,NH4N_ugL,26.333333333333332
1988-03-04,BQ3,Ca_mgL,3.4766666666666666
1988-03-04,BQ3,Mg_mgL,2.6144444444444446
1988-03-04,BQ3,NO3N_ugL,205.22222222222223
1988-03-04,BQ3,K_mgL,0.5555555555555556
1988-05-06,BQ3,NH4N_ugL,59.57142857142857
1988-05-06,BQ3,Ca_mgL,2.613
1988-05-06,BQ3,Mg_mgL,2.339
1988-05-06,BQ3,NO3N_ugL,196
1988-05-06,BQ3,K_mgL,0.688
1988-07-08,BQ3,NH4N_ugL,28.6
1988-07-08,BQ3,Ca_mgL,2.710714285714286
1988-07-08,BQ3,Mg_mgL,2.2592857142857143
1988-07-08,BQ3,NO3N_ugL,134.66666666666666
1988-07-08,BQ3,K_mgL,0.6328571428571429
1988-09-09,BQ3,NH4N_ugL,41.75
1988-09-09,BQ3,Ca_mgL,3.33125
1988-09-09,BQ3,Mg_mgL,2.48875
1988-09-09,BQ3,NO3N_ugL,168.25
1988-09-09,BQ3,K_mgL,0.6275
1988-11-11,BQ3,NH4N_ugL,NA
1988-11-11,BQ3,Ca_mgL,3.815
1988-11-11,BQ3,Mg_mgL,2.66
1988-11-11,BQ3,NO3N_ugL,191.33333333333334
1988-11-11,BQ3,K_mgL,0.7366666666666667
1989-01-13,BQ3,NH4N_ugL,NA
1989-01-13,BQ3,Ca_mgL,3.801111111111111
1989-01-13,BQ3,Mg_mgL,2.8033333333333332
1989-01-13,BQ3,NO3N_ugL,163.66666666666666
1989-01-13,BQ3,K_mgL,0.7688888888888888
1989-03-17,BQ3,NH4N_ugL,NA
1989-03-17,BQ3,Ca_mgL,3.9033333333333333
1989-03-17,BQ3,Mg_mgL,2.7355555555555555
1989-03-17,BQ3,NO3N_ugL,164.66666666666666
1989-03-17,BQ3,K_mgL,0.7344444444444445
1989-05-19,BQ3,NH4N_ugL,NA
1989-05-19,BQ3,Ca_mgL,3.7533333333333334
1989-05-19,BQ3,Mg_mgL,2.8066666666666666
1989-05-19,BQ3,NO3N_ugL,92.22222222222223
1989-05-19,BQ3,K_mgL,0.7511111111111111
1989-07-21,BQ3,NH4N_ugL,NA
1989-07-21,BQ3,Ca_mgL,3.65125
1989-07-21,BQ3,Mg_mgL,2.41
1989-07-21,BQ3,NO3N_ugL,155.875
1989-07-21,BQ3,K_mgL,0.8
1989-09-22,BQ3,NH4N_ugL,NA
1989-09-22,BQ3,Ca_mgL,3.5933333333333333
1989-09-22,BQ3,Mg_mgL,3.2675
1989-09-22,BQ3,NO3N_ugL,444.625
1989-09-22,BQ3,K_mgL,1.426153846153846
1989-11-24,BQ3,NH4N_ugL,NA
1989-11-24,BQ3,Ca_mgL,5.1433333333333335
1989-11-24,BQ3,Mg_mgL,3.5666666666666664
1989-11-24,BQ3,NO3N_ugL,218.625
1989-11-24,BQ3,K_mgL,1.268888888888889
1990-01-26,BQ3,NH4N_ugL,NA
1990-01-26,BQ3,Ca_mgL,4.81
1990-01-26,BQ3,Mg_mgL,3.3755555555555556
1990-01-26,BQ3,NO3N_ugL,381.77777777777777
1990-01-26,BQ3,K_mgL,1.4522222222222223
1990-03-30,BQ3,NH4N_ugL,NA
1990-03-30,BQ3,Ca_mgL,3.6885714285714286
1990-03-30,BQ3,Mg_mgL,2.6742857142857144
1990-03-30,BQ3,NO3N_ugL,352.3076923076923
1990-03-30,BQ3,K_mgL,1.3478571428571429
1990-06-01,BQ3,NH4N_ugL,NA
1990-06-01,BQ3,Ca_mgL,4.614444444444445
1990-06-01,BQ3,Mg_mgL,3.3677777777777775
1990-06-01,BQ3,NO3N_ugL,224.25
1990-06-01,BQ3,K_mgL,1.1855555555555555
1990-08-03,BQ3,NH4N_ugL,NA
1990-08-03,BQ3,Ca_mgL,5.593333333333334
1990-08-03,BQ3,Mg_mgL,3.4522222222222223
1990-08-03,BQ3,NO3N_ugL,151.77777777777777
1990-08-03,BQ3,K_mgL,0.9944444444444445
1990-10-05,BQ3,NH4N_ugL,NA
1990-10-05,BQ3,Ca_mgL,5.102
1990-10-05,BQ3,Mg_mgL,2.934
1990-10-05,BQ3,NO3N_ugL,155.11111111111111
1990-10-05,BQ3,K_mgL,0.9339999999999999
1990-12-07,BQ3,NH4N_ugL,NA
1990-12-07,BQ3,Ca_mgL,4.6770000000000005
1990-12-07,BQ3,Mg_mgL,3.08
1990-12-07,BQ3,NO3N_ugL,170.625
1990-12-07,BQ3,K_mgL,0.9460000000000001
1991-02-08,BQ3,NH4N_ugL,NA
1991-02-08,BQ3,Ca_mgL,4.828888888888889
1991-02-08,BQ3,Mg_mgL,3.8455555555555554
1991-02-08,BQ3,NO3N_ugL,160.22222222222223
1991-02-08,BQ3,K_mgL,0.7733333333333333
1991-04-12,BQ3,NH4N_ugL,NA
1991-04-12,BQ3,Ca_mgL,4.237
1991-04-12,BQ3,Mg_mgL,3.23
1991-04-12,BQ3,NO3N_ugL,51.75
1991-04-12,BQ3,K_mgL,0.897
1991-06-14,BQ3,NH4N_ugL,NA
1991-06-14,BQ3,Ca_mgL,4.447777777777778
1991-06-14,BQ3,Mg_mgL,3.535555555555556
1991-06-14,BQ3,NO3N_ugL,118.625
1991-06-14,BQ3,K_mgL,0.8588888888888889
1991-08-16,BQ3,NH4N_ugL,NA
1991-08-16,BQ3,Ca_mgL,4.675
1991-08-16,BQ3,Mg_mgL,3.249
1991-08-16,BQ3,NO3N_ugL,114.8
1991-08-16,BQ3,K_mgL,1.05
1991-10-18,BQ3,NH4N_ugL,NA
1991-10-18,BQ3,Ca_mgL,3.7416666666666667
1991-10-18,BQ3,Mg_mgL,2.788333333333333
1991-10-18,BQ3,NO3N_ugL,161.16666666666666
1991-10-18,BQ3,K_mgL,0.8883333333333333
1991-12-20,BQ3,NH4N_ugL,NA
1991-12-20,BQ3,Ca_mgL,4.877
1991-12-20,BQ3,Mg_mgL,3.129
1991-12-20,BQ3,NO3N_ugL,185.3
1991-12-20,BQ3,K_mgL,1.0050000000000001
1992-02-21,BQ3,NH4N_ugL,NA
1992-02-21,BQ3,Ca_mgL,6.21
1992-02-21,BQ3,Mg_mgL,3.3511111111111114
1992-02-21,BQ3,NO3N_ugL,127.375
1992-02-21,BQ3,K_mgL,1.12
1992-04-24,BQ3,NH4N_ugL,NA
